"file","date","time","community","replicate","measure_point","Tet","Pca","Col","Ble","hours"
"sample_0024","2019-01-25",10,"Tet_Ble_Pca",3,"t9",0.67516246096717,52.6064084170253,0,131.994261119082,264
"sample_0025","2019-01-25",10,"Tet_Ble_Col",1,"t9",2.47559569021296,0,227.135904577039,97.3359214561004,264
"sample_0026","2019-01-25",10,"Tet_Ble_Col",2,"t9",4.72613722677019,0,938.532084282781,68.7540439418235,264
"sample_0027","2019-01-25",10,"Tet_Ble_Col",3,"t9",0,0,95.985596534166,60.8208850254593,264
"sample_0001","2019-01-28",10,"Tet",1,"t10",3919.82445776015,0,0,0,336
"sample_0002","2019-01-28",10,"Tet",2,"t10",4793.31589163643,0,0,0,336
"sample_0003","2019-01-28",10,"Tet",3,"t10",4685.40242495851,0,0,0,336
"sample_0004","2019-01-28",10,"Pca",1,"t10",0,105.887979295018,0,0,336
"sample_0005","2019-01-28",10,"Pca",2,"t10",0,134.807438039778,0,0,336
"sample_0006","2019-01-28",10,"Pca",3,"t10",0,102.849748220666,0,0,336
"sample_0007","2019-01-28",10,"Col",1,"t10",0,0,1896.08124454947,0,336
"sample_0008","2019-01-28",10,"Col",2,"t10",0,0,1416.99721495485,0,336
"sample_0009","2019-01-28",10,"Col",3,"t10",0,0,1638.61929276732,0,336
"sample_0010","2019-01-28",10,"Ble",1,"t10",0,0,0,179.368160463612,336
"sample_0011","2019-01-28",10,"Ble",2,"t10",0,0,0,179.368160463612,336
"sample_0012","2019-01-28",10,"Ble",3,"t10",0,0,0,155.906264945002,336
"sample_0013","2019-01-28",10,"Ble_Tet",1,"t10",9.73359214561004,0,0,118.265957746083,336
"sample_0014","2019-01-28",10,"Ble_Tet",2,"t10",0,0,0,101.724477452387,336
"sample_0015","2019-01-28",10,"Ble_Tet",3,"t10",6.58283399442991,0,0,160.969983402256,336
"sample_0016","2019-01-28",10,"Ble_Pca",1,"t10",0,178.861788617886,0,33.5330688947028,336
"sample_0017","2019-01-28",10,"Ble_Pca",2,"t10",0,180.831012462374,0,17.4979604467325,336
